"gene_ID","gene_length","logFC","AveExpr","t","P.Value","adj.P.Val","set","enzyme","FDR_genomewide","FDR_within_set","CI_low","CI_high"
"PMG11_00005",861,-0.747577977980884,5.00565284348521,0,0.767559817732945,0.999950541728852,NA,NA,0.999950541728852,NA,-1.54171852839206,0.0465625724302923
"PMG11_00006",1794,1.77686050311187,1.05595863115212,0.878013248773382,0.216791669286616,0.999950541728852,NA,NA,0.999950541728852,NA,-0.386073756352487,3.93979476257624
"PMG11_00007",765,3.01219140366253,4.79291040861875,3.69863041029438,0.00517292512956021,0.137596692226344,NA,NA,0.137596692226344,NA,1.68225859391952,4.34212421340554
"PMG11_00009",675,5.65243125751838,3.03164452412995,1.82175628975951,0.0791929714430383,0.636320409991914,NA,NA,0.636320409991914,NA,-0.590535671896455,11.8953981869332
"PMG11_00010",2178,0.651938882298002,5.79963675391986,0,0.770803579086544,0.999950541728852,NA,NA,0.999950541728852,NA,-0.448871032551182,1.75274879714719
"PMG11_00011",2355,-0.399945486683831,5.00131590528248,0,0.883245830272141,0.999950541728852,NA,NA,0.999950541728852,NA,-1.58245597919134,0.782565005823677
"PMG11_00012",1395,0.623582853121835,3.50819967488193,0,0.768069184632912,0.999950541728852,NA,NA,0.999950541728852,NA,-0.603501819886276,1.85066752612995
"PMG11_00013",1062,-0.896042922947005,4.37996382493625,0,0.57726661029948,0.999950541728852,NA,NA,0.999950541728852,NA,-2.85221463425913,1.06012878836512
"PMG11_00014",576,0.158452521743605,1.82068205341551,0,0.930704042416258,0.999950541728852,NA,NA,0.999950541728852,NA,-1.92060008513949,2.2375051286267
"PMG11_00020",1572,-3.17679934698924,1.74246381926462,-2.72635492873962,0.0180727537218306,0.283509944240543,NA,NA,0.283509944240543,NA,-5.12860850804089,-1.2249901859376
"PMG11_00021",2619,-1.29425220294753,3.27688532911736,-0.538955297943805,0.307432862767773,0.999950541728852,NA,NA,0.999950541728852,NA,-2.628905072747,0.0404006668519472
"PMG11_00022",1383,1.56184081073403,2.12992566051373,0.781333048172337,0.238003773690176,0.999950541728852,NA,NA,0.999950541728852,NA,-0.195995515618369,3.31967713708642
"PMG11_00024",1020,2.03735644042519,2.96827822064757,1.69891650304359,0.0712702001452663,0.592643255633566,NA,NA,0.592643255633566,NA,0.544708728112442,3.53000415273795
"PMG11_00025",1614,2.38317960913516,4.47254922473313,2.10544994318417,0.0408904934103035,0.437119550998574,NA,NA,0.437119550998574,NA,0.7772185720242,3.98914064624611
"PMG11_00026",963,4.18803693179971,4.31227268570948,2.81555129160992,0.0170636877569175,0.276771898716363,NA,NA,0.276771898716363,NA,1.42006776837215,6.95600609522728
"PMG11_00027",1005,4.56930264734548,6.74640029492088,7.88011632936589,0.000117014064540078,0.0276945161675948,NA,NA,0.0276945161675948,NA,3.46203632127252,5.67656897341843
"PMG11_00028",1944,1.46842673580638,3.10333851687911,0.651627171988054,0.276255971659779,0.999950541728852,NA,NA,0.999950541728852,NA,-0.288864877615254,3.22571834922801
"PMG11_00029",2142,-0.995077418439021,6.5059702161772,0,0.506054181494314,0.999950541728852,NA,NA,0.999950541728852,NA,-1.83313159033323,-0.157023246544807
"PMG11_00031",630,1.73688751291738,4.40427272408921,1.58767090144962,0.0821526306762925,0.650663570854115,NA,NA,0.650663570854115,NA,0.602289394286396,2.87148563154837
"PMG11_00032",666,6.25591669469051,4.47358615434287,5.23255385809143,0.00113962829463842,0.0581737426008781,NA,NA,0.0581737426008781,NA,3.80043832344931,8.71139506593172
"PMG11_00033",1035,0.396304925039845,4.63105537827543,0,0.853543548525851,0.999950541728852,NA,NA,0.999950541728852,NA,-1.06245976724417,1.85506961732386
"PMG11_00034",492,1.87261461997134,6.74076319414082,1.62648380776081,0.0782457043620979,0.631039100659074,NA,NA,0.631039100659074,NA,0.561097125659548,3.18413211428314
"PMG11_00035",783,2.43570617332723,4.97856854455156,1.01135352846088,0.201209217231655,0.999950541728852,NA,NA,0.999950541728852,NA,-1.03456906111282,5.90598140776728
"PMG11_00036",699,0.934358353233387,4.95486554564782,0,0.550882100776918,0.999950541728852,NA,NA,0.999950541728852,NA,-0.650487140862194,2.51920384732897
"PMG11_00038",825,0.386131987783325,6.16504800363322,0,0.958189309811642,0.999950541728852,NA,NA,0.999950541728852,NA,-0.349456731663626,1.12172070723028
"PMG11_00039",1956,-0.121726922190523,5.47080709346496,0,0.988563450722281,0.999950541728852,NA,NA,0.999950541728852,NA,-0.928269167020929,0.684815322639883
"PMG11_00040",1716,-1.25370070656345,4.86518423351507,-0.611424935224334,0.282430126398475,0.999950541728852,NA,NA,0.999950541728852,NA,-2.26803212473984,-0.239369288387062
"PMG11_00043",2112,0.73497130049144,3.64000536736704,0,0.699947454319098,0.999950541728852,NA,NA,0.999950541728852,NA,-0.480159583307262,1.95010218429014
"PMG11_00044",954,-0.465178866914902,5.53842492714732,0,0.940611210800897,0.999950541728852,NA,NA,0.999950541728852,NA,-1.19056168877644,0.260203954946638
"PMG11_00045",774,-0.88392943246401,3.08420122160446,0,0.581117542279392,0.999950541728852,NA,NA,0.999950541728852,NA,-2.62128573937822,0.853426874450199
"PMG11_00046",1905,0.500343184367199,5.96625082864441,0,0.924932656291175,0.999950541728852,NA,NA,0.999950541728852,NA,-0.246310214271818,1.24699658300622
"PMG11_00047",3285,-0.789938848061153,9.72192958238436,0,0.682423811233756,0.999950541728852,NA,NA,0.999950541728852,NA,-1.83609513425193,0.256217438129627
"PMG11_00048",3822,-0.853353646751913,6.1608654376175,0,0.681304442777624,0.999950541728852,NA,NA,0.999950541728852,NA,-1.57760918337155,-0.129098110132277
"PMG11_00049",897,-0.10268419095813,6.28345836173085,0,0.994064476229379,0.999950541728852,NA,NA,0.999950541728852,NA,-0.804875956670596,0.599507574754336
"PMG11_00050",3519,0.206997620699479,8.31835434406618,0,0.982121713713033,0.999950541728852,NA,NA,0.999950541728852,NA,-0.556667193417341,0.970662434816299
"PMG11_00051",2088,-0.0702665521952071,6.93355435001224,0,0.992715961268827,0.999950541728852,NA,NA,0.999950541728852,NA,-0.910585581333378,0.770052476942964
"PMG11_00052",2157,-0.657888920043173,1.7174566146818,0,0.698736060331995,0.999950541728852,NA,NA,0.999950541728852,NA,-2.78914303330596,1.47336519321961
"PMG11_00054",1038,-0.330168297922199,2.1754419108746,0,0.851859593127387,0.999950541728852,NA,NA,0.999950541728852,NA,-2.65115121595033,1.99081462010593
"PMG11_00055",1662,-0.596604106533588,7.97587091251475,0,0.850913630661027,0.999950541728852,NA,NA,0.999950541728852,NA,-1.47116411455128,0.277955901484107
"PMG11_00056",999,0.0217699283408592,5.01010127128612,0,0.997897851385779,0.999950541728852,NA,NA,0.999950541728852,NA,-0.803140507163369,0.846680363845088
"PMG11_00057",5097,-1.67899239626165,5.24505174148095,-1.84812177346565,0.057112670923022,0.52483038181187,NA,NA,0.52483038181187,NA,-2.57711509832116,-0.780869694202132
"PMG11_00059",1488,-0.524401474824982,1.94168236318281,0,0.776964685643657,0.999950541728852,NA,NA,0.999950541728852,NA,-2.20082020961417,1.1520172599642
"PMG11_00060",1605,0.534284585208207,4.87249496107506,0,0.843991084719609,0.999950541728852,NA,NA,0.999950541728852,NA,-0.526374266302991,1.5949434367194
"PMG11_00061",456,-0.176981619738752,9.87095839779063,0,0.974472015526558,0.999950541728852,NA,NA,0.999950541728852,NA,-1.09792316824232,0.743959928764818
"PMG11_00062",2118,0.324541082406043,3.76367545040887,0,0.896931464218356,0.999950541728852,NA,NA,0.999950541728852,NA,-0.986451471094805,1.63553363590689
"PMG11_00063",1836,-0.470024028494281,5.3382200621103,0,0.912302609028236,0.999950541728852,NA,NA,0.999950541728852,NA,-1.32680593745252,0.386757880463956
