PMG11_00001	426	1
PMG11_00002	2415	1
PMG11_00003	1359	0
PMG11_00004	1719	0
PMG11_00005	861	29
PMG11_00006	1794	1
PMG11_00007	765	6
PMG11_00008	768	0
PMG11_00009	675	0
PMG11_00010	2178	25
PMG11_00011	2355	19
PMG11_00012	1395	6
PMG11_00013	1062	10
PMG11_00014	576	2
PMG11_00015	627	0
PMG11_00016	801	0
PMG11_00017	1563	0
PMG11_00018	417	0
PMG11_00019	642	0
PMG11_00020	1572	6
PMG11_00021	2619	8
PMG11_00022	1383	1
PMG11_00023	705	0
PMG11_00024	1020	2
PMG11_00025	1614	3
PMG11_00026	963	8
PMG11_00027	1005	11
PMG11_00028	1944	6
PMG11_00029	2142	104
PMG11_00030	3339	0
PMG11_00031	630	7
PMG11_00032	666	1
PMG11_00033	1035	19
PMG11_00034	492	47
PMG11_00035	783	5
PMG11_00036	699	7
PMG11_00037	627	0
PMG11_00038	825	41
PMG11_00039	1956	37
PMG11_00040	1716	41
PMG11_00041	555	0
PMG11_00042	645	0
PMG11_00043	2112	8
PMG11_00044	954	37
PMG11_00045	774	11
PMG11_00046	1905	35
PMG11_00047	3285	1170
PMG11_00048	3822	79
PMG11_00049	897	58
PMG11_00050	3519	252
PMG11_00051	2088	117
PMG11_00052	2157	1
PMG11_00053	1068	0
PMG11_00054	1038	1
PMG11_00055	1662	280
PMG11_00056	999	23
PMG11_00057	5097	64
PMG11_00058	1158	0
PMG11_00059	1488	3
PMG11_00060	1605	12
PMG11_00061	456	946
PMG11_00062	2118	13
PMG11_00063	1836	28
PMG11_00064	1215	130
PMG11_00065	2457	161
PMG11_00066	1161	7
PMG11_00067	3579	786
PMG11_00068	987	26
PMG11_00069	1917	34
PMG11_00070	5904	86
PMG11_00071	879	0
PMG11_00072	1395	4
PMG11_00073	1374	1
PMG11_00074	489	30
PMG11_00075	1674	0
PMG11_00076	2319	49
PMG11_00077	1401	17
PMG11_00078	1440	109
PMG11_00079	432	32
PMG11_00080	1062	14
PMG11_00081	1296	60
PMG11_00082	897	2
PMG11_00083	921	3
PMG11_00084	702	1
PMG11_00085	939	2
PMG11_00086	2283	6
PMG11_00087	1962	8
PMG11_00088	2556	97
PMG11_00089	444	0
PMG11_00090	363	6
PMG11_00091	3117	307
PMG11_00092	681	311
PMG11_00093	657	22
PMG11_00094	1482	6
PMG11_00095	2505	10
PMG11_00096	813	44
PMG11_00097	4203	1
PMG11_00098	786	4
PMG11_00099	3198	12
PMG11_00100	921	4
PMG11_00101	1884	5
PMG11_00102	4287	41
PMG11_00103	774	12
PMG11_00104	1287	34
PMG11_00105	1473	14
PMG11_00106	759	54
PMG11_00107	1062	12
PMG11_00108	252	39
PMG11_00109	696	118
PMG11_00110	3123	50
PMG11_00111	1674	0
PMG11_00112	1143	6
PMG11_00113	2544	49
PMG11_00114	1041	28
PMG11_00115	978	29
PMG11_00116	306	62
PMG11_00117	1290	73
PMG11_00118	1197	33
PMG11_00119	14751	629
PMG11_00120	2589	24
